Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,RGB_Min,RGB_Max,RGB_Mean,RGB_Std,VV_Min,VV_Max,VV_Mean,VV_Std,VH_Min,VH_Max,VH_Mean,VH_Std
1016B,-0.48182884,0.77928483,0.44548374,0.10194597,17.0,255.0,79.7524,26.047436,0.0,246.0,107.83136,13.122544,0.0,107.0,57.492214,15.120741
1017A,0.18146043,0.81769866,0.65449655,0.06960165,22.0,160.0,47.649734,12.231348,81.0,195.0,141.06883,9.4065275,30.0,131.0,86.435814,9.316291
1017B,0.11451398,0.82055885,0.6492565,0.07406484,20.0,154.0,47.518127,12.523743,74.0,207.0,140.748,9.179078,15.0,138.0,86.80715,9.473092
1018A,0.018861147,0.9322862,0.53093344,0.16889693,7.0,255.0,75.49621,41.807503,25.0,191.0,111.89734,16.047115,0.0,139.0,61.169933,19.187027
1018B,0.04828216,0.91184676,0.48084977,0.14981265,0.0,255.0,80.93517,44.28018,39.0,182.0,116.37671,15.275211,0.0,135.0,67.72149,17.69591
1019A,0.17251462,0.9980815,0.854584,0.08370052,0.0,155.0,18.405252,10.926537,36.0,255.0,152.50906,38.219612,0.0,223.0,92.76823,35.487194
1019B,0.0065452815,0.9763496,0.72163904,0.12644939,1.0,181.0,33.13478,16.226126,3.0,255.0,151.27306,46.185978,0.0,216.0,93.01585,39.24511
101A,0.3656637,0.8672107,0.78942144,0.031774886,20.0,90.0,38.964523,12.852629,73.0,176.0,139.30069,9.646522,38.0,123.0,84.63398,8.706375
101B,0.29661152,0.85757655,0.7907472,0.03498389,21.0,93.0,37.958485,12.545132,71.0,197.0,138.66768,9.527958,0.0,122.0,83.93603,8.699799
1020A,-0.2239521,0.8367347,0.3621328,0.16478881,28.0,242.0,72.57537,19.854677,0.0,255.0,111.16952,16.336617,0.0,170.0,38.82302,19.82615
1020B,-0.3352313,0.82459915,0.33605948,0.16082594,28.0,237.0,72.93838,20.696136,0.0,239.0,117.04895,19.522001,0.0,183.0,46.280346,21.16259
1021A,-0.072416596,0.85508496,0.5002145,0.13979425,22.0,255.0,74.05109,28.023584,0.0,198.0,118.45345,18.790123,0.0,129.0,70.61683,23.364365
1021B,-0.49019608,0.8445335,0.48821267,0.20857634,26.0,252.0,68.73806,20.54262,0.0,201.0,119.26453,22.68192,0.0,126.0,72.28119,22.913738
1022A,-0.24119948,0.9143179,0.40687552,0.2025786,16.0,255.0,86.757996,43.407154,4.0,255.0,118.25714,20.922813,0.0,141.0,61.305115,25.89256
1022B,-0.30223286,0.8913616,0.48489988,0.15659794,19.0,255.0,65.11774,21.863499,25.0,218.0,126.53408,16.992199,0.0,144.0,70.24317,19.498158
1023A,0.6129626,0.9354721,0.87076193,0.02302468,5.0,81.0,22.436121,8.83286,67.0,196.0,147.74356,12.253014,9.0,141.0,93.99239,12.014111
1023B,0.011049724,0.9389235,0.8635404,0.058115177,6.0,152.0,23.76644,11.272136,31.0,200.0,147.29826,13.214513,0.0,143.0,93.922585,12.711112
1024A,-0.64888126,0.8574163,0.38615724,0.21916473,13.0,255.0,72.74055,38.256313,0.0,255.0,104.507904,30.297436,0.0,188.0,49.663807,29.169209
1024B,-0.25603864,0.90462244,0.3155784,0.16304947,10.0,255.0,91.73172,42.642094,0.0,185.0,101.58614,20.439785,0.0,162.0,38.986515,25.67281
1025A,0.13084456,0.86349696,0.45315692,0.09075693,15.0,255.0,61.761494,21.40489,52.0,165.0,105.94101,10.617876,0.0,109.0,51.38687,12.810151
1025B,0.15040696,0.7256306,0.34373206,0.06144269,21.0,187.0,73.740204,21.74489,38.0,147.0,95.79297,10.41501,0.0,91.0,38.57017,12.678096
1026A,-0.009874918,0.8328147,0.45418796,0.1312046,25.0,255.0,61.94601,18.783033,17.0,238.0,144.1002,16.537636,0.0,170.0,92.451324,17.198448
1026B,0.08750935,0.8215378,0.45405754,0.14022307,23.0,235.0,62.525288,19.43628,11.0,245.0,144.24142,18.906124,0.0,182.0,92.39071,19.788628
1027A,-1.0,0.92255986,0.56948626,0.38249952,0.0,110.0,21.669243,14.235533,6.0,172.0,123.86615,32.65138,0.0,133.0,81.01269,32.204594
1027B,-1.0,0.94489795,0.687354,0.29765072,0.0,172.0,27.146097,14.14341,0.0,178.0,131.3961,25.0056,0.0,132.0,87.83024,24.656199
1028A,0.10670194,0.83972913,0.49858513,0.089011684,18.0,194.0,52.44699,14.952313,70.0,182.0,129.38884,11.390603,2.0,130.0,76.12598,12.274742
1028B,0.06122449,0.8891775,0.5519962,0.09728227,18.0,208.0,49.345203,14.182138,71.0,180.0,131.5519,10.546995,12.0,124.0,78.158775,11.3606615
1029A,0.13053715,0.7954071,0.3905455,0.07992731,25.0,173.0,71.118706,17.903635,64.0,175.0,117.66361,10.918923,0.0,130.0,61.780598,12.88299
1029B,0.07808858,0.7441422,0.3818316,0.06641522,25.0,164.0,70.04044,17.520164,46.0,161.0,112.567566,9.963871,0.0,116.0,55.508007,11.443997
102A,-0.59896505,0.8820556,0.40870738,0.107075796,5.0,255.0,52.804585,21.360138,7.0,179.0,106.36084,16.382835,0.0,121.0,52.028015,18.837364
102B,-0.7429467,0.88142294,0.39077854,0.15774247,2.0,255.0,58.78735,30.89008,0.0,201.0,104.57676,18.09161,0.0,117.0,48.47887,18.456656
1030A,-0.37406972,0.85356486,0.40432954,0.15449567,25.0,217.0,74.655174,24.469109,11.0,255.0,130.32658,16.976578,0.0,203.0,59.90976,21.947227
1030B,-0.28632644,0.84890145,0.46334165,0.15725715,25.0,255.0,65.221436,21.289822,5.0,255.0,135.8153,17.332493,0.0,203.0,71.09829,18.354586
1031A,-0.25898907,0.75220734,0.4096872,0.07886872,18.0,255.0,62.242916,23.845774,13.0,142.0,93.14691,13.542936,0.0,98.0,41.980682,16.11757
1031B,-0.12915382,0.77273476,0.4268149,0.068889216,14.0,255.0,58.601562,22.067972,18.0,141.0,93.4082,13.104171,0.0,100.0,42.89027,15.90539
1032A,0.0,0.9016176,0.8358166,0.018698372,0.0,58.0,26.365997,7.0708327,0.0,184.0,141.6422,9.337655,0.0,129.0,88.17844,9.5829
1032B,0.6363032,0.8993822,0.83441675,0.017325304,12.0,57.0,26.042242,6.81832,90.0,182.0,143.10655,9.070931,37.0,130.0,89.931496,9.198661
1033A,-0.36531657,0.95045966,0.68652856,0.19660753,2.0,255.0,41.903038,26.78869,16.0,252.0,134.37506,37.11116,0.0,204.0,80.672554,34.807327
1033B,-0.7009544,0.996,0.7296847,0.2303215,0.0,255.0,35.532013,22.770897,6.0,255.0,133.68683,43.710136,0.0,207.0,80.44257,40.283543
1034A,-0.082969435,0.90545106,0.61029994,0.16065978,17.0,255.0,49.64911,21.74529,58.0,186.0,133.25142,13.112392,0.0,139.0,79.24002,14.370618
1034B,0.078784466,0.905096,0.61445904,0.14123902,16.0,255.0,51.602448,18.590145,44.0,194.0,133.46199,12.116376,0.0,132.0,79.92798,13.7032585
1035A,0.0066730217,0.8896479,0.27703154,0.15825593,9.0,255.0,105.133156,51.01758,44.0,181.0,110.07322,15.926904,0.0,131.0,49.550125,21.336994
1035B,0.0,0.9016909,0.3172369,0.16775146,11.0,255.0,97.31536,47.0026,36.0,194.0,112.56344,15.465169,0.0,127.0,52.905094,20.895668
1036A,-0.26127914,0.73118037,0.39379662,0.10691835,36.0,255.0,76.275665,23.810478,6.0,216.0,131.92609,17.059408,0.0,146.0,70.8496,18.765345
1036B,-0.26164874,0.75956774,0.38658786,0.11603883,36.0,251.0,76.54367,25.714115,14.0,210.0,136.80641,13.694686,0.0,142.0,77.2806,14.831917
1037A,-0.024420025,0.858063,0.6033069,0.10371407,13.0,198.0,39.565006,13.857851,21.0,250.0,134.04112,20.688509,0.0,170.0,78.12876,20.20161
1037B,-0.24922806,0.80519795,0.5562743,0.12605047,13.0,205.0,45.013092,18.721117,11.0,255.0,130.00546,20.703922,0.0,166.0,74.03378,21.453707
1038A,-0.22057787,0.84595984,0.5170779,0.08134572,9.0,255.0,59.63486,15.094847,10.0,201.0,100.44941,13.941493,0.0,124.0,50.88925,17.141901
1038B,-0.4028213,0.8495109,0.55963016,0.08698526,14.0,255.0,61.317455,16.221352,0.0,200.0,96.51119,14.8204775,0.0,112.0,48.850723,17.64538
1039A,-0.42081895,0.940547,0.41989717,0.14456126,0.0,255.0,53.038555,23.041916,16.0,218.0,95.84226,20.89188,0.0,195.0,40.665398,25.497276
1039B,-0.18020917,0.9471937,0.434867,0.17648923,0.0,255.0,51.94691,22.915834,2.0,255.0,87.330345,19.32203,0.0,255.0,30.442728,22.37171
103A,-0.14706966,0.7903158,0.29497162,0.12733161,31.0,255.0,103.80306,32.52313,25.0,255.0,111.28912,15.59119,0.0,144.0,54.546356,21.147295
103B,-0.0975089,0.79926133,0.28913316,0.12823705,30.0,255.0,103.470375,33.415127,1.0,255.0,117.43046,19.71333,0.0,255.0,59.617413,19.997038
1040A,-0.46464646,0.8993174,0.48172647,0.17164163,5.0,255.0,46.15947,21.159685,0.0,211.0,128.1515,20.091602,0.0,153.0,80.26205,20.109602
1040B,-0.31563422,0.88533497,0.55105215,0.15880525,3.0,255.0,47.205708,23.08811,12.0,255.0,132.71758,19.205011,0.0,176.0,83.425934,18.87744
1041A,0.6596154,0.9230769,0.86635494,0.01730651,7.0,55.0,21.773672,8.287731,82.0,196.0,144.80298,10.033168,29.0,138.0,90.36846,9.791486
1041B,0.30388758,0.92257756,0.86225414,0.024596132,7.0,92.0,22.89183,9.142239,63.0,206.0,142.91162,11.193438,7.0,144.0,88.27814,10.96679
1042A,-0.004411423,0.90981966,0.17889425,0.07367658,19.0,255.0,159.13515,44.759045,0.0,255.0,55.556763,19.741796,0.0,96.0,4.716629,9.640058
1042B,0.053928096,0.7639477,0.16982724,0.059440225,32.0,255.0,154.06154,40.609962,0.0,130.0,48.658325,19.767809,0.0,73.0,3.6793175,8.711254
1043A,-0.49841937,0.97075844,0.6956991,0.15419872,3.0,255.0,37.90816,16.528532,8.0,255.0,103.66105,15.480778,0.0,167.0,48.943714,15.185041
1043B,-0.45994064,0.96441627,0.77704597,0.14225161,4.0,255.0,31.959799,16.443682,32.0,198.0,105.57367,18.460917,0.0,110.0,51.209934,17.338943
1044A,0.006442706,0.95085204,0.7150108,0.13260081,5.0,255.0,46.391388,20.38417,42.0,242.0,116.92678,21.177523,0.0,211.0,61.269318,17.815475
1044B,-0.23053278,0.95251244,0.65272474,0.17341082,0.0,255.0,50.501846,25.749386,26.0,255.0,128.26808,26.492945,0.0,255.0,72.01117,23.836811
1045A,0.06082474,0.5723696,0.13626176,0.052979615,62.0,255.0,167.96199,44.154587,5.0,208.0,93.371864,22.527164,0.0,72.0,3.229416,7.449308
1045B,0.07464305,0.67017007,0.2998643,0.09960788,52.0,255.0,127.60388,35.64985,12.0,215.0,93.256386,16.303205,0.0,84.0,11.621639,13.408093
1046A,-0.4968017,0.9549211,0.37959027,0.23968266,3.0,255.0,56.16524,25.201965,0.0,255.0,114.80465,17.908802,0.0,170.0,49.239655,23.18523
1046B,-0.5204678,0.95191586,0.49082837,0.26549453,4.0,255.0,50.513172,25.129213,20.0,255.0,116.21024,19.036974,0.0,132.0,54.351826,24.22392
1047A,0.096017286,0.83203506,0.406554,0.14939027,25.0,188.0,68.41663,20.849606,44.0,220.0,114.53556,18.643986,0.0,124.0,57.97,23.699081
1047B,0.13909855,0.85773724,0.5490053,0.11703051,21.0,170.0,53.70607,14.229951,35.0,225.0,128.36491,15.364922,0.0,152.0,75.50825,17.114824
1048A,-0.17330678,0.80188376,0.5773339,0.0703371,20.0,232.0,45.37817,13.46781,46.0,157.0,131.12518,6.4991007,8.0,113.0,85.36285,6.9713745
1048B,-0.25561243,0.79683656,0.55312026,0.08461713,20.0,255.0,48.54479,17.048758,7.0,159.0,130.4305,7.4514685,0.0,112.0,84.307755,8.336645
1049A,-0.5128383,0.902521,0.5507506,0.37595424,13.0,255.0,49.54868,21.6893,0.0,255.0,128.96698,39.06245,0.0,255.0,73.858154,32.99544
1049B,-0.55074114,0.9042803,0.4803069,0.34620875,12.0,255.0,56.61878,23.246195,0.0,255.0,125.14846,39.004017,0.0,255.0,73.775406,32.00395
104A,-0.5329341,0.909473,0.6642585,0.08903616,6.0,144.0,39.864056,13.303807,0.0,177.0,130.94354,11.186781,0.0,128.0,85.46824,10.875979
104B,-0.4987715,0.9378098,0.6442241,0.20322023,6.0,233.0,38.22395,13.685027,0.0,175.0,130.17767,24.057741,0.0,128.0,85.321915,19.985695
1050A,0.5826873,0.9244697,0.8576598,0.020292863,4.0,68.0,20.61045,7.2556095,64.0,210.0,147.02179,17.175451,2.0,152.0,91.07844,16.494598
1050B,0.09074244,0.9328191,0.85899,0.028999403,5.0,132.0,20.624384,7.6842403,59.0,210.0,149.00497,17.126032,3.0,150.0,92.839806,16.343136
1051A,-0.4967742,0.87667096,0.37003386,0.19347772,0.0,255.0,79.823784,53.42824,9.0,255.0,119.092445,18.342743,0.0,255.0,61.5461,21.663385
1051B,-0.5652174,0.9746835,0.37751862,0.2070584,0.0,255.0,76.49522,52.74801,7.0,255.0,120.687004,18.678087,0.0,167.0,62.72523,22.089201
1052A,-0.043419268,0.8796151,0.57162553,0.10491609,20.0,231.0,52.809185,13.515645,29.0,255.0,129.17354,10.782261,0.0,198.0,78.883095,11.199945
