Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std
104B,-0.4987715,0.9378098,0.6442241,0.20322023
1050A,0.5826873,0.9244697,0.8576598,0.020292863
1050B,0.09074244,0.9328191,0.85899,0.028999403
1051A,-0.4967742,0.87667096,0.37003386,0.19347772
1051B,-0.5652174,0.9746835,0.37751862,0.2070584
1052A,-0.043419268,0.8796151,0.57162553,0.10491609
1052B,0.1868759,0.8833992,0.6293421,0.10787356
1053A,-0.7660626,0.88765556,-0.043001287,0.3317908
1053B,-0.69345796,0.92,0.3581113,0.25870892
1054A,-0.34932533,0.8320988,0.4529025,0.16467746
1054B,-0.3719705,0.85405624,0.43618834,0.16378488
1055A,-0.26930827,0.9027573,0.6362761,0.12162368
1055B,-0.3946504,0.9078679,0.62528473,0.12902696
1056A,-0.2923845,0.89048404,0.65839046,0.14881465
1056B,-0.19108649,0.8911003,0.7057042,0.13324909
1057A,-0.47301587,0.865041,0.57030725,0.16984439
1057B,-0.53393084,0.8567854,0.47181398,0.18732269
1058A,-0.40071556,0.8987466,0.4355252,0.18809555
1058B,-0.556541,0.886703,0.40883267,0.1773372
1059A,-0.5879397,0.9147395,0.5703858,0.19474413
1059B,0.032938756,0.8557676,0.5834024,0.20815219
105A,0.22447014,0.91591096,0.5812372,0.0835953
105B,0.08888889,0.88430476,0.68688035,0.07118024
1060A,0.078056954,0.81848365,0.50503737,0.17252117
1060B,0.077963404,0.8088235,0.53117216,0.16252623
1061A,-0.9921875,0.9479413,0.20404187,0.5770914
1061B,-0.98657715,0.9520181,0.18651265,0.65872675
1062A,0.0635861,0.8206147,0.5134109,0.09095984
1062B,-0.3452381,0.8545504,0.5022706,0.08297569
1063A,0.021540118,0.90334034,0.4174894,0.13323736
1063B,0.059409462,0.91271234,0.4509954,0.14702958
1064A,-0.31981826,0.8541217,0.31928483,0.21016121
1064B,-0.1437096,0.8271346,0.22054602,0.14162213
1065A,-0.08136483,0.89582354,0.4869586,0.09989977
1065B,-0.24770643,0.8856152,0.46262553,0.08256615
1066A,0.19287252,0.81946135,0.6009895,0.079719864
1066B,0.20786998,0.82099164,0.57485706,0.09431603
1067A,0.19254659,0.9083824,0.8097886,0.061046835
1067B,0.1489899,0.9028897,0.8111087,0.054254994
1068A,-0.21823472,0.9160976,0.49189425,0.20878905
1068B,-0.031453364,0.92390406,0.49971396,0.19870093
1069A,-0.06811146,0.9996112,0.23965432,0.19013453
1069B,-0.3836434,0.9997078,0.17907247,0.12401717
106A,-0.2844221,0.82623225,0.33281687,0.12145945
106B,-0.3618677,0.8181818,0.2752145,0.14252244
1070A,-0.531445,0.904658,0.4193989,0.18855953
1070B,-0.37708566,0.9322265,0.56328714,0.20925015
1071A,0.119170986,0.8800105,0.48262557,0.11889215
1071B,0.106992416,0.90122837,0.49454826,0.121404864
1072A,0.14565827,0.87614816,0.70190704,0.07033006
1072B,0.11395647,0.86448467,0.71092886,0.07189636
1073A,0.20276497,0.92499495,0.8850433,0.032665532
1073B,0.12974052,0.9292554,0.8866993,0.03164266
1074A,-0.36813188,0.9226985,0.6443816,0.23196541
1074B,-0.4726841,0.92189556,0.58840144,0.24699038
1075A,-0.58450705,0.9425423,0.43850297,0.20927083
1075B,-0.5272727,0.93499416,0.5082302,0.2028412
1076A,0.032835823,0.8456057,0.7426021,0.04402466
1076B,0.014164306,0.85612917,0.7595024,0.03759695
1077A,-0.47454175,0.83354676,0.40216392,0.06592892
1077B,-0.07168204,0.91138464,0.39723358,0.10535139
1078A,-0.30842912,0.88180643,0.6158397,0.13778226
1078B,0.21087681,0.8883888,0.71653426,0.09453032
1079A,-0.98253274,0.9509677,0.78253603,0.21195714
1079B,-0.98367345,0.9490085,0.7345894,0.24102175
107A,-0.34910485,0.9139531,0.59259385,0.1137253
