Unnamed: 0,Initial dates,End dates,Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days
0,2021-05-28,2021-08-28,-27.1785779671063,-61.34427626764057,0.5570701666666668,0.0053184999999999,35.27646966666666,2021,5,92
1,2019-06-22,2019-09-22,-13.50140578583611,-69.01370740833134,2.92952775,0.53335325,93.8245715,2019,6,92
2,2023-09-18,2023-12-18,-4.504010547391019,-59.31350446428398,1.934562,7.026944,79.78183,2023,9,91
3,2021-02-22,2021-05-22,-18.44132429464842,123.3851659174868,0.199029,0.036947,27.204141,2021,2,89
4,2023-04-28,2023-07-28,-12.40010033423593,38.72498744168047,2.4521778,0.005001,81.946476,2023,4,91
5,2019-01-08,2019-04-08,20.22086573199036,81.86085171965078,0.2834365,1.470507375,38.952451875,2019,1,90
6,2019-04-03,2019-07-03,-14.65014003543239,35.5245968210551,1.271118,11.07766233333333,56.61534166666667,2019,4,91
7,2020-08-21,2020-11-21,-15.76483939001386,-61.42044035988746,1.205603142857143,0.0180917142857142,52.87471157142857,2020,8,92
8,2020-03-05,2020-06-05,-33.42275174656106,147.6921839739811,1.273031285714286,0.0890594285714285,43.803983,2020,3,92
9,2020-09-07,2020-12-07,-9.438757269715223,-47.27968584420512,1.1396225,0.006627,30.11159533333333,2020,9,91
10,2022-09-12,2022-12-12,38.48755670117792,21.27797261065865,0.3935711111111111,23.975583,52.64512966666667,2022,9,91
11,2022-04-16,2022-07-16,39.88774496544666,-6.264626757483512,1.764261346153847,1.162375153846154,50.6049866923077,2022,4,91
12,2022-04-19,2022-07-19,-29.34545421199409,-58.88051110552038,0.3249526363636364,0.859852909090909,86.86020754545453,2022,4,91
13,2022-03-12,2022-06-12,-18.20541018853688,122.0815490458154,2.051834,5.674401,23.20328900000001,2022,3,92
14,2023-04-19,2023-07-19,8.217347506029675,30.30058602417924,1.142778,0.9290121666666667,35.978957,2023,4,91
15,2019-04-10,2019-07-10,-28.61683851051665,151.4305803635831,1.10632425,0.093344,41.94065925,2019,4,91
16,2023-09-28,2023-12-28,8.375928545904365,35.60704970014146,1.998468846153846,0.0062266153846153,93.21534761538462,2023,9,91
17,2019-02-06,2019-05-06,32.39668034249902,-5.98797839213222,0.3248916666666667,0.3243026666666667,20.13465733333333,2019,2,89
18,2023-08-20,2023-11-20,-7.112880664768618,-62.79394309395148,0.663802,2.657053666666667,94.781252,2023,8,92
19,2023-05-19,2023-08-19,-18.87575993340457,-60.49087088043929,1.0683648,0.0002062,81.232253,2023,5,92
20,2019-08-19,2019-11-19,-38.14248402661726,-62.08739237688449,2.596246666666667,2.871363,27.899759,2019,8,92
21,2020-05-02,2020-08-02,-18.64724549651047,-54.48704595692874,1.2393763,0.1813388,77.8971655,2020,5,92
22,2022-06-01,2022-09-01,-4.605182306333901,-41.55392110196172,1.3630598,0.408089,83.0324684,2022,6,92
23,2019-02-15,2019-05-15,-22.07162592338491,45.61541276016067,1.129276875,0.07057625,41.914724125,2019,2,89
24,2020-06-14,2020-09-14,-34.60354402018218,150.6320345515174,2.2442,12.463465,67.745018,2020,6,92
25,2020-07-20,2020-10-20,-21.21222681194088,-46.01331240896687,0.881622076923077,3.384093076923077,46.90792246153846,2020,7,92
26,2021-03-04,2021-06-04,-29.54136549050612,152.3614978055347,1.522943714285714,0.2565964285714286,95.61993885714288,2021,3,92
27,2020-08-07,2020-11-07,-8.075419421909665,36.68469776403779,1.299655,0.0438075,36.94880449999999,2020,8,92
28,2020-06-05,2020-09-05,-6.867468191445212,-74.95764255529382,0.240155,0.21778,99.119085,2020,6,92
29,2019-02-20,2019-05-20,25.57155772173957,-108.58574430955,1.245281,12.3311824,26.7093604,2019,2,89
30,2022-07-12,2022-10-12,27.71012500237518,76.78874051450987,2.903332333333333,0.0998226666666666,51.50593933333334,2022,7,92
31,2022-04-09,2022-07-09,37.93545147242769,-120.8022596706875,0.4485060588235295,1.830277176470589,46.0781754117647,2022,4,91
