Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days,NDVI_Mean_A,NDVI_Std_A,RGB_Mean_A,RGB_Std_A,VV_Mean_A,VV_Std_A,VH_Mean_A,VH_Std_A,NDVI_Mean_B,NDVI_Std_B,RGB_Mean_B,RGB_Std_B,VV_Mean_B,VV_Std_B,VH_Mean_B,VH_Std_B
-38.14248402661726,-62.08739237688449,2.596246666666667,2.871363,27.899759,2019,8,92,0.46415,0.20783952,69.18603,33.494358,93.57839,25.580885,27.872826,25.993273,0.4234965,0.16826853,76.04358,29.417332,96.24634,28.392633,32.120064,26.132864
-18.64724549651047,-54.48704595692874,1.2393763,0.1813388,77.8971655,2020,5,92,0.6397376,0.1546381,41.623745,23.89035,127.799995,15.572835,73.63003,16.041096,0.5744957,0.15834978,50.16133,25.919529,117.96722,17.764612,64.24099,19.45731
-4.605182306333901,-41.55392110196172,1.3630598,0.408089,83.0324684,2022,6,92,0.62119174,0.14592882,43.060345,19.539658,134.18611,11.577186,84.444336,12.333152,0.6448725,0.14809822,42.597786,24.904634,134.85455,10.463009,86.25051,11.683654
-22.07162592338491,45.61541276016067,1.129276875,0.07057625,41.914724125,2019,2,89,0.4139196,0.13684143,54.97525,25.778002,110.37445,23.212992,48.752777,22.09888,0.46884692,0.14741701,53.11015,25.093803,102.425354,18.609434,43.20752,20.787437
-34.60354402018218,150.6320345515174,2.2442,12.463465,67.745018,2020,6,92,0.86204845,0.10801093,17.569237,17.639294,138.4821,27.718735,84.37377,25.44109,0.8315351,0.118593335,23.261175,19.612932,133.14534,25.080034,81.59969,22.610554
-21.21222681194088,-46.01331240896687,0.881622076923077,3.384093076923077,46.90792246153846,2020,7,92,0.32768106,0.27234343,69.67928,38.37657,101.55068,32.116444,45.285786,32.33402,-0.0019940808,0.3500122,42.7787,31.982763,56.0567,51.518723,23.41839,33.854626
-29.54136549050612,152.3614978055347,1.522943714285714,0.2565964285714286,95.61993885714288,2021,3,92,0.83437634,0.07309991,16.4781,8.051996,153.65393,36.437008,99.61911,33.07692,0.8095988,0.08112123,19.78171,9.445918,138.79335,30.386415,88.44983,28.425217
-8.075419421909665,36.68469776403779,1.299655,0.0438075,36.94880449999999,2020,8,92,0.3493161,0.10827708,74.07436,21.841677,128.05156,21.077663,69.81484,25.327381,0.3807819,0.12545899,70.80772,22.57759,130.97896,23.091448,73.43576,26.374567
-6.867468191445212,-74.95764255529382,0.240155,0.21778,99.119085,2020,6,92,0.83598995,0.029625416,28.158188,8.57178,150.93163,11.010161,94.11615,10.452617,0.8333998,0.022027943,27.06811,7.571934,149.36542,10.05375,93.064026,9.910012
25.57155772173957,-108.58574430955,1.245281,12.3311824,26.7093604,2019,2,89,0.6184378,0.23666683,61.898296,38.566925,117.5698,12.161215,56.437542,14.384702,0.6451955,0.23121777,56.993793,36.34072,120.98023,16.071722,58.712494,16.110445
27.71012500237518,76.78874051450987,2.903332333333333,0.0998226666666666,51.50593933333334,2022,7,92,0.4938163,0.15973343,71.872,25.601898,144.94604,26.725023,85.945244,25.901373,0.42124474,0.14534089,78.61743,27.460035,143.44211,15.727915,81.37668,16.298096
37.93545147242769,-120.8022596706875,0.4485060588235295,1.830277176470589,46.0781754117647,2022,4,91,0.25156027,0.06805,85.43928,30.069431,90.27549,20.3284,17.683823,20.835682,0.31022263,0.08030531,78.46784,26.373682,107.16571,20.438625,42.95413,23.104137
-14.32410278717701,-45.86843290637486,2.958767857142857,0.0015985714285714,81.73380657142857,2021,1,90,0.57432914,0.11183863,46.856705,17.544739,127.97308,10.448769,75.42039,11.592246,0.64816475,0.16110303,50.28648,21.348484,127.13467,11.79883,71.617,13.132454
10.98228600654741,76.7652752882141,1.298967833333333,0.514879,68.624139,2023,2,89,0.42526373,0.15080138,73.301796,32.079914,133.32463,23.420532,75.73994,28.014101,0.41663957,0.15638678,74.98937,32.871353,132.12761,22.597544,74.62844,25.159893
